created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-30 16:30:33,COVID19 Practice,2,127,"Don’t believe Trump’s Disinformation Campaign!

Over 180,000 Americans Dead from #COVID19 !

#Practice… https://t.co/WhU4jnK7sv"
2020-08-30 16:29:59,,0,140,@RepAdamSchiff America is a great Country.  My late grandmother used to tell me that No Condition is Permanent.  We… https://t.co/JPow0OAo75
2020-08-30 16:29:55,wearamask valucoop staysafe,3,137,"Shira wants you… to wear a mask!!! That is all. 👀

#wearamask #valucoop #staysafe ---&gt; https://t.co/rc7tQGspHn https://t.co/HN4ErToRC3"
2020-08-30 16:29:50,,0,137,@simondolan So why do you insist on them on your airline and deliver them to the NHS calling them 'life saving'?… https://t.co/S88OxrWIx9
2020-08-30 16:29:41,dtGopKKKultists,1,148,"THIS IS THE TYPICAL trump VOTER, ... #dtGopKKKultists 

M aking

A meriKKKa

H ate

Again &amp; again, &amp; yet again

...… https://t.co/IuUCt3bIb2"
2020-08-30 16:29:38,WearAMask,1,59,@BlendBeast @HipDotCosmetics As you should !! #WearAMask 🖤✨
2020-08-30 16:28:51,WearAMask SocialDistancing washyourhands,3,136,So sad with so many lives lost 🙏Statistics do not lie. 🏥 stay safe. #WearAMask #SocialDistancing #washyourhands… https://t.co/OR9LMQFwii
2020-08-30 16:28:49,TheBrinkNews,1,140,"#TheBrinkNews I Health Ministry Introduces COVID-19 Testing Fee, Applies to Each person https://t.co/uICXD1Kw19 via… https://t.co/DTjc8ihUsK"
2020-08-30 16:27:05,Tourists TimesSquare masks,3,140,"#Tourists,
I see you back in #TimesSquare. 
That's fine.
What's not fine is the amount of you w/o #masks.😷
Don't co… https://t.co/JIhnWcJrHy"
2020-08-30 16:26:47,Yikes students UniversityofAlabama coronavirus Adios WearaMask,6,131,"#Yikes More than 1,000 #students at #UniversityofAlabama contract #coronavirus in 2 weeks #Adios #WearaMask https://t.co/qxEmI8CyKP"
2020-08-30 16:26:00,,0,137,Covid-19 Times - Walking Detroit - Urban Architecture - Comerica Park - ... https://t.co/9q4anYrSPp via @YouTube… https://t.co/Qg4PKIRXgH
2020-08-30 16:25:55,WearAMask,1,140,"@HOUY3 @MaryMcDonnell10 @RealTonyDenison 💜💜💜 merveilleuse!!!💜💜💜 un pour tous et tous pour un! #WearAMask 
I love th… https://t.co/TnGAqjlbVy"
2020-08-30 16:24:48,WearAMask,1,72,@r_blom86 🙄🤦‍♀️Oh for fucks sake just #WearAMask https://t.co/cv2V3wtoVt
